City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Manokwari,ID,79.3,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
320,Tambura,SS,80.76,overcast clouds,5.6,27.4667,Rikito Lodge
322,Shangqiu,CN,75.42,overcast clouds,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
328,Birjand,IR,81.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
334,Coahuayana,MX,76.84,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
339,Kyaikto,MM,77.05,moderate rain,17.3,97.0167,နီလာ တည်းခိုခန်း
344,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
350,Abomey,BJ,77.56,light rain,7.1829,1.9912,Residence Hotel Marie Emmanuella
356,Ratnagiri,IN,78.64,overcast clouds,16.9833,73.3,Hotel Landmark
359,Buala,SB,79.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
360,Malanje,AO,78.6,light rain,-9.5402,16.341,Hotel Ginga
361,Sagarejo,GE,79.23,scattered clouds,41.734,45.3315,ლოზა
367,Palu,ID,76.28,broken clouds,-0.8917,119.8707,Hotel Santika Palu
374,Verkhniy Baskunchak,RU,76.1,overcast clouds,48.2256,46.7217,Kombat
376,Pafos,CY,83.23,few clouds,34.7667,32.4167,Elysium Hotel
378,Tabuk,PH,75.09,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
382,Isangel,VU,76.08,few clouds,-19.55,169.2667,Tanna Lodge
383,Meulaboh,ID,77.14,overcast clouds,4.1363,96.1285,Kost Pria
384,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
385,Nador,MA,78.87,few clouds,35.174,-2.9287,Hôtel La Giralda
386,Basco,PH,84.31,few clouds,20.4487,121.9702,Nathaniel's Lodge
