City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Hobyo,SO,5.3505,48.5268,79.05,70,10,26.78,clear sky
269,Cabedelo,BR,-6.9811,-34.8339,81.37,64,28,17.34,scattered clouds
270,Bandarbeyla,SO,9.4942,50.8122,79.14,77,54,27.76,broken clouds
271,Kamaishi,JP,39.2667,141.8833,66.22,78,0,5.55,clear sky
272,Walvis Bay,NA,-22.9575,14.5053,59.09,63,39,14.63,scattered clouds
273,Chokurdakh,RU,70.6333,147.9167,23.2,87,100,3.6,overcast clouds
274,Auki,SB,-8.7676,160.7034,76.42,86,8,3.69,clear sky
275,Geraldton,AU,-28.7667,114.6,64.81,77,99,14.97,overcast clouds
276,Hauterive,FR,46.0901,3.4459,70.56,85,99,11.9,overcast clouds
277,Yamethin,MM,20.4333,96.15,75.11,96,99,6.26,overcast clouds
278,Grindavik,IS,63.8424,-22.4338,48.67,87,75,18.41,broken clouds
279,Kavieng,PG,-2.5744,150.7967,81.68,78,31,13.89,light rain
280,Umm Lajj,SA,25.0213,37.2685,90.66,51,0,20.85,clear sky
281,Faanui,PF,-16.4833,-151.75,76.98,70,57,7.87,broken clouds
282,Keuruu,FI,62.2667,24.7,48.38,97,100,5.01,overcast clouds
283,Hamilton,US,39.1834,-84.5333,61.16,68,0,12.66,clear sky
284,Nanton,CA,50.3501,-113.7687,42.89,86,6,2.93,clear sky
285,Lodja,CD,-3.4833,23.4333,93.7,36,56,2.53,broken clouds
286,Walla Walla,US,46.0646,-118.343,59.04,87,0,4.61,clear sky
287,Tautira,PF,-17.7333,-149.15,76.06,75,26,9.53,scattered clouds
288,Sancti Spiritus,CU,21.9297,-79.4425,78.21,78,81,7.65,broken clouds
289,Caravelas,BR,-17.7125,-39.2481,78.44,57,94,7.23,overcast clouds
290,Kuala Terengganu,MY,5.3302,103.1408,81.55,80,95,8.01,overcast clouds
291,Ostrovnoy,RU,68.0531,39.5131,38.89,90,100,13.56,overcast clouds
292,Hervey Bay,AU,-25.2986,152.8535,64.02,85,4,14.0,clear sky
293,Kaputa,ZM,-8.4689,29.6619,90.54,26,96,2.57,overcast clouds
294,Khandyga,RU,62.6667,135.6,23.43,93,27,2.46,scattered clouds
295,Souillac,MU,-20.5167,57.5167,71.98,73,40,9.22,scattered clouds
296,Valdivia,CL,-39.8142,-73.2459,50.02,79,99,4.74,overcast clouds
